# Wavelength(microns)  (Rp/Rs)^2  Error
4.863083e+01 2.226496e-02 1.492145e-01
4.862758e+01 2.221038e-02 1.490315e-01
4.862434e+01 2.218304e-02 1.489397e-01
4.862110e+01 2.229068e-02 1.493006e-01
4.861786e+01 2.378644e-02 1.542285e-01
4.861462e+01 2.394526e-02 1.547426e-01
4.861138e+01 2.331815e-02 1.527028e-01
4.860814e+01 2.247258e-02 1.499086e-01
4.860490e+01 2.232471e-02 1.494146e-01
4.860166e+01 2.216996e-02 1.488958e-01
4.859842e+01 2.218669e-02 1.489520e-01
4.859518e+01 2.302437e-02 1.517378e-01
4.859194e+01 2.289550e-02 1.513126e-01
4.858870e+01 2.220999e-02 1.490302e-01
4.858546e+01 2.217075e-02 1.488985e-01
4.858222e+01 2.213629e-02 1.487827e-01
4.857898e+01 2.211441e-02 1.487092e-01
4.857574e+01 2.253526e-02 1.501175e-01
4.857250e+01 2.264117e-02 1.504698e-01
4.856927e+01 2.255228e-02 1.501742e-01
4.856603e+01 2.244836e-02 1.498278e-01
4.856279e+01 2.214380e-02 1.488079e-01
4.855955e+01 2.196380e-02 1.482019e-01
4.855632e+01 2.200624e-02 1.483450e-01
4.855308e+01 2.245533e-02 1.498510e-01
4.854984e+01 2.246039e-02 1.498679e-01
4.854661e+01 2.286540e-02 1.512131e-01
4.854337e+01 2.320929e-02 1.523459e-01
4.854014e+01 2.308040e-02 1.519224e-01
4.853690e+01 2.287545e-02 1.512463e-01
4.853366e+01 2.303323e-02 1.517670e-01
4.853043e+01 2.258994e-02 1.502995e-01
4.852719e+01 2.238294e-02 1.496093e-01
4.852396e+01 2.234806e-02 1.494927e-01
4.852072e+01 2.240535e-02 1.496842e-01
4.851749e+01 2.231397e-02 1.493786e-01
4.851425e+01 2.230737e-02 1.493565e-01
4.851102e+01 2.208444e-02 1.486083e-01
4.850779e+01 2.215905e-02 1.488591e-01
4.850455e+01 2.220510e-02 1.490138e-01
4.850132e+01 2.232676e-02 1.494214e-01
4.849809e+01 2.229443e-02 1.493132e-01
4.849485e+01 2.223339e-02 1.491087e-01
4.849162e+01 2.246657e-02 1.498885e-01
4.848839e+01 2.270193e-02 1.506716e-01
4.848516e+01 2.267039e-02 1.505669e-01
4.848192e+01 2.231126e-02 1.493695e-01
4.847869e+01 2.199852e-02 1.483190e-01
